;Model;Frameshift (ms);Image Resolution;Runtime Framerate (Hz);Artificial Delay (ms);Inference Time (min) (ms);Inference Time (mean);Inference Time (median);Inference Time (99%);Inference Time (max);Average Inferred STS Time (ms);Lag Delta (ms);Driving Score;Infractions (25 laps);Infractions per Lap;Interventions (25 laps);Interventions per Lap;Battery Voltage (V);Car Throttle Scale;Approximate Speed of Lap (s);Comments
0;KerasLinear;-100;160x120;20;0;;;;;;;;10.0;0.0;0.0;0.0;0.0;7.8;0.74;10.3;Cleanest driving I've seen so far. 0 mistakes on 25 laps, albeit slowly.
1;KerasLinear;-50;160x120;20;0;17.22;23.87;24.28;30.54;45.17;23.87;73.87;9.5;1.0;0.04;1.0;0.04;8.13;0.74;9.3;2nd day measurement
2;KerasLinear;0;160x120;20;0;17.68;24.06;24.55;30.91;50.06;24.06;24.06;8.3;5.0;0.2;3.0;0.12;8.0;0.77;8.5;Baseline performance, pretty decent laps
3;KerasLinear;50;160x120;20;0;17.71;23.66;24.38;31.79;44.23;23.66;-26.34;7.7;3.0;0.12;5.0;0.2;8.13;0.8;7.438;Amazing performance with amazing speed. This really seemed like it could basically have lightning-fast reflexes.
4;KerasLinear;100;160x120;20;0;;;;;;;;;;;;;;;;This model couldn't really drive, it always messed up at the sunny corner.
5;KerasLinear;150;160x120;20;0;;;;;;;;;;;;;;;;Same as with frameshift_2, it just can't drive a single clean lap
6;KerasLinear;200;160x120;20;0;;;;;;;;;;;;;;;;More issues than with FS3
7;KerasLinear;-100;160x120;20;25;17.48;24.08;24.29;30.2;43.46;49.08;149.08;7.6;4.0;0.16;5.0;0.2;7.95;0.74;11.9;Couldn't manage higher speeds and it was quite inconsistent at times.
8;KerasLinear;-50;160x120;20;25;17.24;23.51;24.22;30.88;40.19;48.51;98.51;9.1;1.0;0.04;2.0;0.08;8.2;0.74;9.7;couldn't manage higher speeds for some reason.
9;KerasLinear;0;160x120;20;25;17.38;24.01;24.25;29.54;43.78;49.01;49.01;8.5;3.0;0.12;3.0;0.12;7.75;0.77;8.6;19th April, OK performance, it's like nothing has changed.
10;KerasLinear;50;160x120;20;25;17.49;23.87;24.31;30.8;45.34;48.87;-1.13;9.6;0.0;0.0;1.0;0.04;7.54;0.8;7.8;This model is the most finicky. It doesn't drive well at all while it's accelerating, so you have to really prep it up on a straight road before you let the car loose on a corner. But when you do, it does really clean laps.
11;KerasLinear;100;160x120;20;25;17.39;23.83;24.28;32.33;39.43;48.83;-51.17;4.3;1.0;0.04;14.0;0.56;6.9;0.86;8.04;It just doesn't do corners very well. You have to give it a very good start in order for it to make a clean lap, but it crashes constantly.
12;KerasLinear;150;160x120;20;25;;;;;;;;;;;;;;;;No clean lap possible
13;KerasLinear;200;160x120;20;25;;;;;;;;;;;;;;;;No clean lap possible
14;KerasLinear;-100;160x120;20;50;18.14;27.74;27.23;35.34;43.14;77.74;177.74;7.7;3.0;0.12;5.0;0.2;7.1;0.77;13.2;This model was able to drive a lap at this lag, but it quite often didn't manage the U-turn, because it started turning left too late.
15;KerasLinear;-50;160x120;20;50;17.27;27.76;27.39;34.96;57.56;77.76;127.76;10.0;0.0;0.0;0.0;0.0;7.54;0.77;11.8;Perfect laps, wow. It didn't crash nor scrape the wall at all from speeds 11.8s/lap to 13.5s/lap.
16;KerasLinear;0;160x120;20;50;17.89;27.81;27.68;35.49;48.77;77.81;77.81;7.5;1.0;0.04;6.0;0.24;7.74;0.74;10.1;Worse performance than in 0ms implemented lag. It has to be driven slower in order to account for the fact that it starts turning later and it makes mistakes when donkeycar skips frames in unfortunate places.
17;KerasLinear;50;160x120;20;50;17.14;27.66;27.3;35.25;46.47;77.66;27.66;3.0;2.0;0.08;17.0;0.68;7.68;0.77;9.1;At lower speeds, it started to turn corners too early, but at higher speeds, it just didn't manage corners at certain fast moments (like in the U-corner) and the lag caused it to skip frames. A poor driver all around.
18;KerasLinear;100;160x120;20;50;17.16;27.39;26.75;35.24;42.05;77.39;-22.61;4.3;1.0;0.04;14.0;0.56;7.54;0.8;8.5;It managed clean laps whenever the speed was great, although it sometimes didn't steer enough when entering into the snake corner and crashed straight into the sunny wall.
19;KerasLinear;150;160x120;20;50;;;;;;;;;;;;;;;;No clean lap possible
20;KerasLinear;200;160x120;20;50;;;;;;;;;;;;;;;;No clean lap possible
21;KerasLinear;-100;160x120;20;75;18.41;30.43;30.81;35.8;50.17;105.43;205.43;9.1;5.0;0.2;1.0;0.04;7.53;0.68;16.2;Rather clean laps, although slow as hell, it almost dies at certain corners. Fails are always at the tail-end of the snake corner.
22;KerasLinear;-50;160x120;20;75;18.11;30.32;30.71;35.01;36.69;105.32;155.32;8.7;9.0;0.36;1.0;0.04;7.68;0.71;13.8;All infractions were caused in the snake corner. Weird stuff.
23;KerasLinear;0;160x120;20;75;18.0;30.23;30.76;35.93;51.68;105.23;105.23;5.0;6.0;0.24;11.0;0.44;8.01;0.71;11.5;"The lag causes the car to drive really inconsistently. It sometimes is able to take corners just fine at this low speeds, but sometimes it is able to predict the right angle at the ""right"" time and it starts turning into a corner too early."
24;KerasLinear;50;160x120;20;75;17.89;30.34;30.79;36.51;43.53;105.34;55.34;1.6;4.0;0.16;20.0;0.8;7.82;0.74;10.5;This model always fails at the snake corner. Other corners are fine.
25;KerasLinear;100;160x120;20;75;18.12;30.12;30.82;36.03;52.18;105.12;5.12;3.8;2.0;0.08;15.0;0.6;7.9;0.74;10.0;This one did a lot better than FS1 at this lag. It could actually complete quite a decent lap, but most of the fails were at the snake corner.
26;KerasLinear;150;160x120;20;75;17.6;29.42;30.16;36.77;39.32;104.42;-45.58;2.9;3.0;0.12;17.0;0.68;7.45;0.89;8.1;It managed some clean laps at extreme speeds such as 8s, but most of the time it crashed in the sunny corner.
27;KerasLinear;200;160x120;20;75;;;;;;;;;;;;;;;;No clean laps
