BeginningFrame;EndFrame;FrameCount;Time;Tub
5090;5258;168;8.4;Train A
6279;6448;169;8.45;Train A
6448;6612;164;8.2;Train A
6612;6781;169;8.45;Train A
6781;6948;167;8.35;Train A
8796;8973;177;8.85;Train A
9925;10101;176;8.8;Train A
10266;10450;184;9.2;Train A
10450;10618;168;8.4;Train A
10618;10788;170;8.5;Train A
11474;11647;173;8.65;Train A
11647;11818;171;8.55;Train A
11818;11990;172;8.6;Train A
11990;12164;174;8.7;Train A
12164;12336;172;8.6;Train A
12336;12509;173;8.65;Train A
12509;12680;171;8.55;Train A
12680;12858;178;8.9;Train A
12858;13030;172;8.6;Train A
13030;13201;171;8.55;Train A
13201;13378;177;8.85;Train A
13633;13806;173;8.65;Train A
13806;13983;177;8.85;Train A
14214;14393;179;8.95;Train A
14393;14565;172;8.6;Train A
14801;14969;168;8.4;Train A
14969;15142;173;8.65;Train A
15142;15317;175;8.75;Train A
15317;15491;174;8.7;Train A
15491;15669;178;8.9;Train A
15669;15852;183;9.15;Train A
15852;16034;182;9.1;Train A
16034;16211;177;8.85;Train A
16449;16634;185;9.25;Train A
16634;16796;162;8.1;Train A
16796;16961;165;8.25;Train A
16961;17122;161;8.05;Train A
17122;17285;163;8.15;Train A
17285;17454;169;8.45;Train A
17454;17623;169;8.45;Train A
17623;17790;167;8.35;Train A
18012;18180;168;8.4;Train A
18766;18936;170;8.5;Train A
18936;19101;165;8.25;Train A
19101;19274;173;8.65;Train A
19274;19443;169;8.45;Train A
19443;19620;177;8.85;Train A
19839;20002;163;8.15;Train A
20739;20906;167;8.35;Train A
20906;21075;169;8.45;Train A
21075;21239;164;8.2;Train A
21475;21636;161;8.05;Train A
21636;21803;167;8.35;Train A
21803;21969;166;8.3;Train A
22146;22314;168;8.4;Train A
22549;22723;174;8.7;Train A
22939;23107;168;8.4;Train A
23565;23738;173;8.65;Train A
23738;23897;159;7.95;Train A
25187;25353;166;8.3;Train A
25599;25748;149;7.45;Train A
25748;25897;149;7.45;Train A
26148;26298;150;7.5;Train A
26298;26449;151;7.55;Train A
26933;27082;149;7.45;Train A
27082;27235;153;7.65;Train A
27235;27393;158;7.9;Train A
27393;27535;142;7.1;Train A
27535;27689;154;7.7;Train A
28156;28307;151;7.55;Train A
28558;28713;155;7.75;Train A
29120;29271;151;7.55;Train A
29271;29423;152;7.6;Train A
29423;29576;153;7.65;Train A
29576;29729;153;7.65;Train A
1540;1707;167;8.35;Train B
2435;2594;159;7.95;Train B
2815;2981;166;8.3;Train B
2981;3135;154;7.7;Train B
3135;3302;167;8.35;Train B
3533;3700;167;8.35;Train B
3700;3865;165;8.25;Train B
4632;4805;173;8.65;Train B
4805;4972;167;8.35;Train B
4972;5140;168;8.4;Train B
5140;5301;161;8.05;Train B
5301;5468;167;8.35;Train B
5688;5860;172;8.6;Train B
5860;6018;158;7.9;Train B
6018;6180;162;8.1;Train B
6180;6350;170;8.5;Train B
6350;6518;168;8.4;Train B
6518;6685;167;8.35;Train B
6685;6850;165;8.25;Train B
6850;7017;167;8.35;Train B
7017;7183;166;8.3;Train B
7183;7346;163;8.15;Train B
7346;7510;164;8.2;Train B
7510;7670;160;8;Train B
7670;7834;164;8.2;Train B
7834;7999;165;8.25;Train B
8267;8429;162;8.1;Train B
8429;8591;162;8.1;Train B
8591;8749;158;7.9;Train B
8749;8922;173;8.65;Train B
8922;9078;156;7.8;Train B
9078;9241;163;8.15;Train B
9241;9395;154;7.7;Train B
9395;9551;156;7.8;Train B
9551;9723;172;8.6;Train B
9943;10104;161;8.05;Train B
10271;10435;164;8.2;Train B
